cluster_id,cluster_name,state,primary_material,four_week_units,four_week_revenue_inr,four_week_net_cashflow_inr,max_credit_need_probability,final_credit_status
C01,Patan Patola,Gujarat,silk,19.251237514007556,861464.7998286117,613519.29344543,0.5789767903509183,yellow
C02,Surendranagar Tangaliya,Gujarat,wool,273.1364556201564,1227114.3374998672,968859.0869506807,0.4464151746328094,yellow
C03,Kutch Weaves (Bhujodi),Gujarat,wool/cotton,302.12555195257437,960373.6159894413,633389.5304607099,0.6051261347818763,yellow
C04,Ahmedabad Ashavali,Gujarat,silk,16.808040414264347,634493.573799144,671848.2149744212,0.20603641962386934,green
C05,Surat Mashru,Gujarat,silk-cotton,439.8907952883564,532473.6457960929,286938.4088205027,0.6225824253217032,yellow
C06,Varanasi Banarasi,Uttar Pradesh,silk,107.08902996059547,904387.282662854,557718.598045992,0.44010867316976926,yellow
C07,Mubarakpur Azamgarh,Uttar Pradesh,silk,195.41715492091748,1172740.7403978691,795963.8078697186,0.48861451881694307,yellow
C08,Shantipur-Fulia Tant,West Bengal,cotton,280.80057169975896,616630.7242681885,410070.2137535422,0.5195035904318485,yellow
C09,Murshidabad Silk,West Bengal,silk,166.3999702747287,1171585.0617330314,697466.5919001336,0.5526746476394797,yellow
C10,Bishnupur Baluchari,West Bengal,silk,81.65487564406725,978631.4567835385,667935.0118528701,0.5528739284355452,yellow
C11,Nadia Jamdani,West Bengal,cotton,62.02088853625663,586805.3854762489,351842.6600312001,0.7708572796540786,red
C12,Sambalpur Ikat,Odisha,cotton/silk,255.96865420517076,1256530.6104876585,534989.6755739022,0.7212748002790541,red
C13,Berhampur Patta,Odisha,silk,110.15728212908712,878487.4417015628,511372.0714778921,0.7058285850283208,red
C14,Nuapatna Sonepuri,Odisha,cotton,160.74801855384686,674396.2857252243,347559.57157541777,0.6642088638407913,yellow
C15,Pochampally Ikat,Telangana,cotton/silk,213.61199625989474,1040897.2056820411,649317.4447781568,0.4819597639652726,yellow
C16,Gadwal,Telangana,silk-cotton,166.26977876138398,1096045.7442747361,690390.7641676578,0.5030641687481354,yellow
C17,Venkatagiri,Andhra Pradesh,cotton/silk,218.47931045169304,883585.841296489,526678.4029653019,0.5596513560776182,yellow
C18,Mangalagiri,Andhra Pradesh,cotton,235.0944070146012,592444.6690984049,231312.2079800431,0.6288071485122585,yellow
C19,Kanchipuram Kanjeevaram,Tamil Nadu,silk,38.11078069207076,570840.4067028809,286146.79735322547,0.3333287795943542,green
C20,Arani Silk,Tamil Nadu,silk,98.78613983978696,699264.4065050443,453335.5728598796,0.6058470467794042,yellow
C21,Salem,Tamil Nadu,cotton,1319.9734236813702,1195529.0947894966,533170.486627193,0.6560741505127081,yellow
C22,Ilkal,Karnataka,cotton/silk,211.3238284456532,809504.8817507843,458541.5158474035,0.6792971413995643,yellow
C23,Molakalmuru,Karnataka,silk,157.08209071428348,1423951.6032174635,1158295.3183401364,0.3500354192700915,green
C24,Guledgudda Khana,Karnataka,cotton,609.1056365037754,915369.458206245,494928.9344545401,0.6703060129910521,yellow
C25,Sualkuchi Muga Silk,Assam,silk,90.29201669546774,1080794.4964798803,769358.5607290613,0.42884334887380343,yellow
C26,Barpeta,Assam,cotton,991.568388488594,1082527.5435628423,497138.45820103143,0.6310947049978538,yellow
C27,Chanderi,Madhya Pradesh,cotton-silk,105.66518621601034,586162.2623755849,386478.30130534124,0.42496174200240283,yellow
C28,Maheshwar,Madhya Pradesh,cotton-silk,135.35411670996723,677200.103040938,412608.52253249567,0.5019917030015374,yellow
C29,Paithan Paithani,Maharashtra,silk,69.55147707995769,1393367.3963627608,884872.2737379842,0.5028550825519903,yellow
C30,Solapur,Maharashtra,cotton,404.87643790481474,726252.6703502119,393350.8036077064,0.5754987017743437,yellow
C31,Kota Doria,Rajasthan,cotton-silk,210.27690581080722,879318.5130104367,477049.49878924736,0.47627045098809406,yellow
C32,Balaramapuram,Kerala,cotton,437.4292239621918,1392909.8787010822,1203261.710043948,0.3833203292674085,green
C33,Srinagar Pashmina,Jammu & Kashmir,wool,36.221806224898515,903264.6711601,515478.8105543061,0.7020013631851367,red
C34,Bhagalpur Tussar,Bihar,silk,132.17991723780287,797749.1417409516,662135.8526439419,0.3802871667556246,green
