cluster_id,product_category,week_start_date,units_ordered,units_delivered,avg_order_value_inr
C01,saree,2021-07-05,1,1,47072.59
C01,saree,2021-07-12,3,3,46472.98
C01,saree,2021-07-19,3,3,46677.37
C01,saree,2021-07-26,1,1,44390.41
C01,saree,2021-08-02,2,2,42909.77
C01,saree,2021-08-09,1,1,43046.56
C01,saree,2021-08-16,3,3,41320.21
C01,saree,2021-08-23,7,7,45533.13
C01,saree,2021-08-30,1,1,44812.24
C01,saree,2021-09-06,3,3,44010.03
C01,saree,2021-09-13,2,2,38349.86
C01,saree,2021-09-20,1,1,42193.54
C01,saree,2021-09-27,2,2,47521.89
C01,saree,2021-10-04,2,2,43504.59
C01,saree,2021-10-11,5,5,45811.33
C01,saree,2021-10-18,5,4,41870.96
C01,saree,2021-10-25,2,2,48237.09
C01,saree,2021-11-01,4,4,44675.94
C01,saree,2021-11-08,3,3,45652.59
C01,saree,2021-11-15,6,6,50233.0
C01,saree,2021-11-22,1,1,48411.99
C01,saree,2021-11-29,1,1,44310.23
C01,saree,2021-12-06,3,3,43665.25
C01,saree,2021-12-13,5,4,44267.52
C01,saree,2021-12-20,1,1,46147.27
C01,saree,2021-12-27,4,4,44763.25
C01,saree,2022-01-03,4,4,44110.7
C01,saree,2022-01-10,1,1,48301.16
C01,saree,2022-01-17,8,7,44743.03
C01,saree,2022-01-24,3,3,50174.08
C01,saree,2022-01-31,2,2,45204.17
C01,saree,2022-02-07,2,2,49016.97
C01,saree,2022-02-14,3,3,45803.97
C01,saree,2022-02-21,3,3,47166.66
C01,saree,2022-02-28,3,1,43369.63
C01,saree,2022-03-07,1,1,43079.04
C01,saree,2022-03-14,3,3,46034.34
C01,saree,2022-03-21,1,1,47224.24
C01,saree,2022-03-28,1,0,45090.58
C01,saree,2022-04-04,4,4,42105.61
C01,saree,2022-04-11,0,0,41939.42
C01,saree,2022-04-18,3,3,41788.94
C01,saree,2022-04-25,7,7,41022.85
C01,saree,2022-05-02,4,3,45246.34
C01,saree,2022-05-09,4,4,47531.35
C01,saree,2022-05-16,3,3,44969.81
C01,saree,2022-05-23,1,0,39914.07
C01,saree,2022-05-30,3,3,44570.79
C01,saree,2022-06-06,3,3,44633.7
C01,saree,2022-06-13,2,2,49716.0
C01,saree,2022-06-20,4,4,41721.44
C01,saree,2022-06-27,2,2,44120.98
C01,saree,2022-07-04,2,2,48838.17
C01,saree,2022-07-11,1,1,46012.45
C01,saree,2022-07-18,3,2,46267.45
C01,saree,2022-07-25,2,2,45257.81
C01,saree,2022-08-01,2,2,45742.37
C01,saree,2022-08-08,3,3,46749.62
C01,saree,2022-08-15,6,6,43178.66
C01,saree,2022-08-22,3,3,46975.63
C01,saree,2022-08-29,6,5,41910.74
C01,saree,2022-09-05,3,2,45738.83
C01,saree,2022-09-12,2,2,45402.17
C01,saree,2022-09-19,2,2,43613.34
C01,saree,2022-09-26,1,1,44948.96
C01,saree,2022-10-03,3,3,43599.28
C01,saree,2022-10-10,1,1,42588.67
C01,saree,2022-10-17,5,5,44204.37
C01,saree,2022-10-24,3,3,42516.03
C01,saree,2022-10-31,2,2,45726.29
C01,saree,2022-11-07,1,1,42412.31
C01,saree,2022-11-14,4,4,46601.95
C01,saree,2022-11-21,2,2,42341.67
C01,saree,2022-11-28,3,3,43725.84
C01,saree,2022-12-05,2,2,43594.64
C01,saree,2022-12-12,1,1,47981.58
C01,saree,2022-12-19,3,3,45743.15
C01,saree,2022-12-26,4,4,44523.6
C01,saree,2023-01-02,2,2,46122.12
C01,saree,2023-01-09,6,6,40258.82
C01,saree,2023-01-16,6,5,44902.95
C01,saree,2023-01-23,3,2,49494.41
C01,saree,2023-01-30,1,1,45297.78
C01,saree,2023-02-06,0,0,45152.8
C01,saree,2023-02-13,3,3,46233.29
C01,saree,2023-02-20,0,0,47015.11
C01,saree,2023-02-27,4,4,40505.7
C01,saree,2023-03-06,6,5,41214.77
C01,saree,2023-03-13,0,0,45473.16
C01,saree,2023-03-20,3,3,43391.53
C01,saree,2023-03-27,5,4,47952.06
C01,saree,2023-04-03,1,1,44290.86
C01,saree,2023-04-10,7,7,40647.31
C01,saree,2023-04-17,5,5,42146.97
C01,saree,2023-04-24,1,1,38813.23
C01,saree,2023-05-01,6,6,44473.22
C01,saree,2023-05-08,3,3,44576.14
C01,saree,2023-05-15,2,2,44044.96
C01,saree,2023-05-22,3,2,47427.48
C01,saree,2023-05-29,3,3,47696.67
C01,saree,2023-06-05,2,2,44616.63
C01,saree,2023-06-12,2,2,40196.94
C01,saree,2023-06-19,4,3,46388.88
C01,saree,2023-06-26,1,1,46249.56
C01,saree,2023-07-03,4,3,45696.13
C01,saree,2023-07-10,2,2,47208.33
C01,saree,2023-07-17,1,1,42379.14
C01,saree,2023-07-24,1,1,49519.7
C01,saree,2023-07-31,2,2,42841.29
C01,saree,2023-08-07,4,4,46685.75
C01,saree,2023-08-14,3,3,41203.47
C01,saree,2023-08-21,4,4,42906.9
C01,saree,2023-08-28,2,1,48411.83
C01,saree,2023-09-04,5,4,44412.98
C01,saree,2023-09-11,6,5,46889.83
C01,saree,2023-09-18,1,1,45533.15
C01,saree,2023-09-25,4,4,44763.84
C01,saree,2023-10-02,2,2,48068.66
C01,saree,2023-10-09,1,1,44467.52
C01,saree,2023-10-16,3,3,40993.34
C01,saree,2023-10-23,0,0,43192.71
C01,saree,2023-10-30,1,1,46240.18
C01,saree,2023-11-06,3,3,45889.9
