week_start_date,cotton_price_inr_per_kg,reporting_markets,reporting_states
2021-07-05,62.72,20,3
2021-07-12,64.65245283018868,15,2
2021-07-19,66.86555555555555,15,2
2021-07-26,69.29857142857144,17,2
2021-08-02,72.91348837209303,14,3
2021-08-09,70.69222222222223,15,3
2021-08-16,72.84382978723404,16,2
2021-08-23,67.61345454545454,17,2
2021-08-30,71.43578947368421,19,3
2021-09-06,62.26824175824176,26,3
2021-09-13,57.82401574803149,37,3
2021-09-20,53.641600000000004,43,4
2021-09-27,55.937733812949645,42,4
2021-10-04,60.34108796296296,59,3
2021-10-11,64.42136212624585,84,5
2021-10-18,70.46773019271949,115,5
2021-10-25,75.36600143061516,146,5
2021-11-01,80.65742857142857,105,5
2021-11-08,78.41015353805074,164,5
2021-11-15,76.88249662618084,164,5
2021-11-22,78.94047953216375,170,5
2021-11-29,79.05299410029498,171,5
2021-12-06,78.99333528722157,170,5
2021-12-13,79.83131062355658,170,5
2021-12-20,80.85213164251208,176,5
2021-12-27,84.2775925925926,182,5
2022-01-03,89.03558361391696,184,6
2022-01-10,88.3481380753138,177,6
2022-01-17,88.9994606741573,181,6
2022-01-24,88.80316416040101,178,6
2022-01-31,90.37588470319633,181,6
2022-02-07,90.35837962962962,170,6
2022-02-14,91.88920024420025,172,6
2022-02-21,90.46854218362283,169,6
2022-02-28,88.85400757575758,154,6
2022-03-07,89.72109219858156,151,6
2022-03-14,89.81064971751412,140,6
2022-03-21,93.90538720538721,139,6
2022-03-28,97.62917525773196,108,6
2022-04-04,101.47600563909775,119,6
2022-04-11,100.84315085158151,114,6
2022-04-18,101.73596907216495,112,6
2022-04-25,100.55064270152506,106,6
2022-05-02,104.41834459459459,89,6
2022-05-09,103.36103550295857,87,6
2022-05-16,106.02260586319218,80,6
2022-05-23,103.81273946360153,65,6
2022-05-30,100.48384615384614,61,6
2022-06-06,98.67186046511628,54,6
2022-06-13,101.09119496855345,43,6
2022-06-20,99.7816083916084,37,6
2022-06-27,93.8938392857143,34,5
2022-07-04,88.21864,35,6
2022-07-11,84.75867924528302,29,5
2022-07-18,86.80644230769232,27,5
2022-07-25,83.47828282828283,24,5
2022-08-01,85.341484375,29,5
2022-08-08,83.46731182795699,28,5
2022-08-15,87.66697674418604,21,4
2022-08-22,87.98310077519379,33,4
2022-08-29,88.28445161290323,44,5
2022-09-05,88.44675438596491,62,5
2022-09-12,85.02518518518518,63,5
2022-09-19,79.4096750902527,63,5
2022-09-26,79.40188022284123,74,5
2022-10-03,79.8375176056338,78,5
2022-10-10,81.54096264367817,97,6
2022-10-17,79.30083102493074,96,6
2022-10-24,74.70365482233503,73,6
2022-10-31,79.41156810035842,123,6
2022-11-07,83.68556492411467,153,6
2022-11-14,86.97025815217391,161,6
2022-11-21,84.35793079096045,163,6
2022-11-28,84.36449935815149,177,6
2022-12-05,82.38634338138925,172,6
2022-12-12,81.40081714285714,176,6
2022-12-19,79.61611453201971,180,6
2022-12-26,75.60611248454883,178,6
2023-01-02,78.94032692307692,173,6
2023-01-09,79.00495063469675,169,6
2023-01-16,79.13276564774381,171,6
2023-01-23,77.83211488250653,174,6
2023-01-30,77.29416666666667,181,6
2023-02-06,76.21446689113355,179,6
2023-02-13,77.31227556109725,175,6
2023-02-20,76.59802709069493,180,6
2023-02-27,75.69692307692308,173,6
2023-03-06,73.96916252072968,155,6
2023-03-13,73.35765602322206,157,6
2023-03-20,73.46151465798046,143,6
2023-03-27,73.16491428571429,126,5
2023-04-03,75.75680000000001,145,5
2023-04-10,76.34993372606775,153,6
2023-04-17,75.6226511627907,154,6
2023-04-24,74.47334542815675,156,6
2023-05-01,74.45815541601256,148,6
2023-05-08,73.12898763523957,147,6
2023-05-15,71.61333590138675,143,6
2023-05-22,68.14937025796661,137,6
2023-05-29,69.19884552845528,136,6
2023-06-05,70.15718137254902,132,6
2023-06-12,68.62017621145375,110,6
2023-06-19,68.27310546875,114,6
2023-06-26,67.14986966824644,109,6
2023-07-03,67.86404867256637,99,6
2023-07-10,67.262,92,6
2023-07-17,67.55726790450929,85,6
2023-07-24,67.97778711484594,87,6
2023-07-31,68.19902140672784,84,6
2023-08-07,69.95066225165563,72,6
2023-08-14,71.2555324074074,61,6
2023-08-21,70.04656934306568,62,6
2023-08-28,68.95562992125984,71,6
2023-09-04,67.90430167597766,54,6
2023-09-11,68.38664874551971,76,6
2023-09-18,65.55366279069767,76,6
2023-09-25,63.90813455657492,87,6
2023-10-02,65.16726342710997,97,6
2023-10-09,67.01664619164619,93,6
2023-10-16,67.78388308977036,107,6
2023-10-23,68.7429294117647,117,6
2023-10-30,69.627239488117,137,6
2023-11-06,69.00260416666667,145,6
2023-11-13,69.36044,132,6
2023-11-20,69.399198630137,171,6
2023-11-27,68.7820993031359,159,6
2023-12-04,68.33861224489796,164,6
2023-12-11,68.18184824902724,168,6
2023-12-18,67.15165625,168,6
2023-12-25,67.3882797731569,136,5
2024-01-01,66.79359803921568,128,5
