cluster_id,cluster_name,state,week_start_date,units_ordered,units_delivered,gross_merchandise_value_inr,delivered_revenue_inr,cash_in_inr,raw_material_cost_inr,wage_cost_inr,loom_maintenance_cost_inr,working_capital_drag_inr,net_income_accrual_inr,net_cashflow_inr,active_weavers_est,income_per_active_weaver_inr,pending_receivables_inr,receivable_weeks_outstanding,income_volatility_score,credit_need_flag
C01,Patan Patola,Gujarat,2021-07-05,5,5,228980.1,0.0,0.0,0.0,0.0,540.0,0.0,-540.0,-540.0,3,-180.0,0.0,0.0,0.0,False
C01,Patan Patola,Gujarat,2021-07-12,5,5,220096.08,0.0,0.0,0.0,0.0,900.0,0.0,-900.0,-900.0,5,-180.0,0.0,0.0,0.0,True
C01,Patan Patola,Gujarat,2021-07-19,5,5,227078.04,0.0,0.0,0.0,0.0,1080.0,0.0,-1080.0,-1080.0,6,-180.0,0.0,0.0,0.0,True
C01,Patan Patola,Gujarat,2021-07-26,3,3,138636.7,91584.96,0.0,19924.71,33886.44,360.0,137.38,37413.81,-54308.53,2,18706.9,91584.96,4.0,1.882,True
C01,Patan Patola,Gujarat,2021-08-02,6,6,274365.62,268647.6,0.0,58871.87,99399.61,900.0,540.35,109476.12,-159711.83,5,21895.22,360232.56,4.0,1.595,True
C01,Patan Patola,Gujarat,2021-08-09,2,2,91090.17,140034.8,135970.68,30551.62,51812.88,360.0,546.45,57310.3,52699.73,2,28655.15,364296.68,2.91,2.679,True
C01,Patan Patola,Gujarat,2021-08-16,3,3,131726.58,297940.58,45827.36,65278.04,110238.01,900.0,924.61,121524.53,-131513.3,5,24304.91,616409.9,3.09,1.838,True
C01,Patan Patola,Gujarat,2021-08-23,9,9,400464.72,89146.76,315287.96,19327.45,32984.3,2160.0,585.4,34675.01,260230.81,12,2889.58,390268.7,1.96,25.0,False
C01,Patan Patola,Gujarat,2021-08-30,1,1,44346.2,0.0,49744.06,0.0,0.0,360.0,510.79,-360.0,48873.27,2,-180.0,340524.64,2.58,25.0,False
C01,Patan Patola,Gujarat,2021-09-06,7,7,313445.7,85844.29,93597.46,18410.86,31762.39,1260.0,499.16,34411.04,41665.05,7,4915.86,332771.47,2.81,18.421,False
C01,Patan Patola,Gujarat,2021-09-13,7,7,302794.14,185027.92,205954.81,39315.48,68460.33,1080.0,467.77,76172.11,96631.23,6,12695.35,311844.58,3.46,6.964,False
C01,Patan Patola,Gujarat,2021-09-20,5,5,230291.48,644034.74,0.0,135654.48,238292.85,720.0,1433.82,269367.41,-376101.15,4,67341.85,955879.32,4.18,9.303,True
C01,Patan Patola,Gujarat,2021-09-27,5,5,223594.37,277083.32,240501.59,58643.66,102520.83,900.0,1488.69,115018.83,76948.41,5,23003.77,992461.05,3.33,21.688,False
C01,Patan Patola,Gujarat,2021-10-04,4,4,185400.89,129466.58,315652.85,27652.28,47902.63,720.0,1209.41,53191.67,238168.53,4,13297.92,806274.78,2.61,6.437,False
C01,Patan Patola,Gujarat,2021-10-11,6,6,270574.48,128865.19,0.0,27756.78,47680.12,1620.0,1402.71,51808.29,-78459.61,9,5756.48,935139.97,3.17,5.192,False
C01,Patan Patola,Gujarat,2021-10-18,9,8,405915.9,0.0,367018.83,0.0,0.0,1440.0,852.18,-1440.0,364726.65,8,-180.0,568121.14,4.24,4.246,False
C01,Patan Patola,Gujarat,2021-10-25,4,4,178027.97,269555.74,265247.78,59367.99,99735.62,720.0,858.64,109732.13,104565.53,4,27433.03,572429.1,4.34,3.754,False
C01,Patan Patola,Gujarat,2021-11-01,6,6,260539.19,134713.88,82063.08,29984.7,49844.14,1260.0,937.62,53625.04,36.62,7,7660.72,625079.9,4.69,4.139,False
C01,Patan Patola,Gujarat,2021-11-08,8,8,360902.08,178378.22,318062.22,39522.65,65999.94,1259.43,728.09,71596.2,210552.11,7,10228.03,485395.9,3.33,3.366,False
C01,Patan Patola,Gujarat,2021-11-15,6,6,272988.16,458356.95,176373.7,101253.43,169592.07,1798.36,1151.07,185713.09,-97421.23,10,18571.31,767379.15,2.95,1.578,False
C01,Patan Patola,Gujarat,2021-11-22,6,6,274517.47,214267.72,131199.1,47521.8,79279.06,719.02,1275.67,86747.84,2403.55,4,21686.96,850447.77,3.45,1.777,False
C01,Patan Patola,Gujarat,2021-11-29,2,2,89383.71,715493.15,226501.09,158750.17,264732.47,359.38,2009.16,291651.13,-199350.09,2,145825.56,1339439.83,3.42,4.742,False
C01,Patan Patola,Gujarat,2021-12-06,4,4,174277.62,212065.7,484139.84,47042.77,78464.31,898.05,1601.05,85660.57,356133.66,5,17132.11,1067365.69,2.67,2.217,False
C01,Patan Patola,Gujarat,2021-12-13,6,5,262031.98,263132.4,399681.52,58463.76,97358.99,1256.7,1396.22,106052.95,241205.85,7,15150.42,930816.57,2.65,2.405,False
C01,Patan Patola,Gujarat,2021-12-20,4,4,179207.03,148723.62,258711.16,33116.11,55027.74,538.34,1231.24,60041.43,168797.73,3,20013.81,820829.03,2.45,2.211,False
C01,Patan Patola,Gujarat,2021-12-27,5,5,222647.54,338404.45,353749.67,75859.4,125209.65,1255.55,1208.23,136079.85,150216.84,7,19439.98,805483.81,3.35,1.79,False
C01,Patan Patola,Gujarat,2022-01-03,5,5,224017.81,0.0,235755.51,0.0,0.0,1254.98,854.59,-1254.98,233645.94,7,-179.28,569728.3,3.04,1.761,False
C01,Patan Patola,Gujarat,2022-01-10,6,6,272951.63,248047.11,426098.38,56041.65,91777.43,537.66,587.52,99690.37,277154.12,3,33230.12,391677.03,2.13,1.148,False
C01,Patan Patola,Gujarat,2022-01-17,12,9,541110.44,139478.56,0.0,31555.64,51607.07,2328.81,796.73,53987.04,-86288.25,13,4152.85,531155.59,2.93,1.329,False
C01,Patan Patola,Gujarat,2022-01-24,6,6,286868.62,264184.22,46987.8,59745.77,97748.16,1074.34,1122.53,105615.95,-112703.0,6,17602.66,748352.01,4.59,1.098,False
C01,Patan Patola,Gujarat,2022-01-31,6,6,267608.63,89090.46,138174.11,20210.83,32963.47,894.87,1048.9,35021.29,83056.04,5,7004.26,699268.36,3.78,1.241,False
C01,Patan Patola,Gujarat,2022-02-07,4,4,180285.46,234323.6,89639.46,53158.03,86699.73,716.31,1265.93,93749.53,-52200.54,4,23437.38,843952.5,4.64,1.814,True
C01,Patan Patola,Gujarat,2022-02-14,4,4,178461.3,337441.2,321459.65,76774.18,124853.24,895.9,1289.9,134917.88,117646.43,5,26983.58,859934.05,3.72,1.924,False
C01,Patan Patola,Gujarat,2022-02-21,3,3,136467.17,733544.17,44764.29,166442.23,271411.34,896.41,2323.07,294794.19,-396308.76,5,58958.84,1548713.93,4.44,25.0,False
C01,Patan Patola,Gujarat,2022-02-28,4,2,182408.81,88831.15,573185.81,20093.25,32867.53,358.77,1596.54,35511.6,518269.72,2,17755.8,1064359.27,3.05,6.32,False
C01,Patan Patola,Gujarat,2022-03-07,3,3,134377.65,178979.96,87146.56,40547.68,66222.59,359.59,1734.29,71850.1,-21717.59,2,35925.05,1156192.67,3.45,25.0,False
C01,Patan Patola,Gujarat,2022-03-14,6,6,274859.96,309031.41,586774.14,70024.3,114341.62,1081.11,1317.67,123584.38,400009.44,6,20597.4,878449.94,2.68,4.319,False
C01,Patan Patola,Gujarat,2022-03-21,3,3,138219.08,362651.9,389983.53,82829.88,134181.2,541.78,1276.68,145099.04,171153.99,3,48366.35,851118.31,3.62,2.747,False
C01,Patan Patola,Gujarat,2022-03-28,3,2,135232.94,307677.7,179435.0,70775.66,113840.75,180.98,1469.04,122880.31,-6831.43,1,122880.31,979361.01,3.38,3.115,False
C01,Patan Patola,Gujarat,2022-04-04,6,6,261762.35,0.0,0.0,0.0,0.0,1269.76,1469.04,-1269.76,-2738.8,7,-181.39,979361.01,4.0,2.886,False
C01,Patan Patola,Gujarat,2022-04-11,5,4,219427.31,0.0,313189.02,0.0,0.0,181.78,999.26,-181.78,312007.98,1,-181.78,666171.99,3.98,2.394,False
C01,Patan Patola,Gujarat,2022-04-18,5,4,220065.79,182683.97,128259.3,42353.36,67593.07,910.97,1080.89,71826.57,16321.01,5,14365.31,720596.66,5.88,1.225,False
C01,Patan Patola,Gujarat,2022-04-25,11,11,494655.33,268964.16,315611.54,62226.08,99516.74,2556.16,1010.92,104665.18,150301.64,14,7476.08,673949.28,5.97,1.261,False
C01,Patan Patola,Gujarat,2022-05-02,6,5,266676.53,191019.8,219857.71,44513.33,70677.33,1097.96,967.67,74731.18,102601.42,6,12455.2,645111.37,4.02,1.048,False
C01,Patan Patola,Gujarat,2022-05-09,9,9,406393.53,129613.65,449710.81,30146.72,47957.05,1650.44,487.52,49859.44,369469.08,9,5539.94,325014.21,1.68,1.024,False
C01,Patan Patola,Gujarat,2022-05-16,9,9,403127.93,138784.71,50012.06,32438.9,51350.34,1286.55,620.68,53708.92,-35684.41,7,7672.7,413786.86,2.27,1.361,False
C01,Patan Patola,Gujarat,2022-05-23,4,3,173153.2,232514.21,370968.39,54121.27,86030.26,184.2,413.0,92178.48,230219.66,1,92178.48,275332.68,1.59,1.053,False
C01,Patan Patola,Gujarat,2022-05-30,5,5,224509.14,987658.64,88029.0,228455.75,365433.7,1107.55,1762.44,392661.64,-508730.44,6,65443.61,1174962.32,3.16,3.457,False
C01,Patan Patola,Gujarat,2022-06-06,5,5,222159.05,324211.32,175733.62,74736.16,119958.19,1110.01,1985.16,128406.96,-22055.9,6,21401.16,1323440.02,3.15,6.869,False
C01,Patan Patola,Gujarat,2022-06-13,3,3,131987.56,92039.32,726055.04,21314.0,34054.55,741.57,1034.14,35929.2,668910.78,4,8982.3,689424.3,1.69,2.861,False
C01,Patan Patola,Gujarat,2022-06-20,5,4,218354.6,270394.02,232806.37,62461.51,100045.79,1300.61,1090.52,106586.11,67907.94,7,15226.59,727011.95,1.74,3.133,False
C01,Patan Patola,Gujarat,2022-06-27,3,3,131330.92,135863.2,187303.68,31031.22,50269.38,744.77,1013.36,53817.83,104244.95,4,13454.46,675571.47,3.29,3.127,False
C01,Patan Patola,Gujarat,2022-07-04,4,4,183553.57,135431.76,356021.65,30592.32,50109.75,746.41,682.47,53983.28,273890.7,4,13495.82,454981.58,2.87,3.42,False
C01,Patan Patola,Gujarat,2022-07-11,1,1,45361.19,142257.3,232217.41,31920.88,52635.2,373.98,547.53,57327.24,146739.82,2,28663.62,365021.47,2.13,2.736,False
C01,Patan Patola,Gujarat,2022-07-18,5,4,231282.52,451511.7,42900.16,101712.09,167059.33,749.6,1160.45,181990.68,-227781.31,4,45497.67,773633.01,3.58,5.505,False
C01,Patan Patola,Gujarat,2022-07-25,5,4,223038.38,258287.48,318614.66,57808.65,95566.37,751.16,1069.96,104161.3,163418.52,4,26040.32,713305.83,2.89,1.756,False
C01,Patan Patola,Gujarat,2022-08-01,6,5,273400.13,0.0,531529.13,0.0,0.0,941.0,272.67,-941.0,530315.46,5,-188.2,181776.7,0.85,1.293,False
C01,Patan Patola,Gujarat,2022-08-08,6,6,264886.36,93322.89,0.0,20887.08,34529.47,1130.43,412.65,36775.91,-56959.63,6,6129.32,275099.59,1.37,1.785,False
C01,Patan Patola,Gujarat,2022-08-15,9,8,417200.22,190883.69,0.0,43076.13,70626.97,2074.72,698.97,75105.87,-116476.79,11,6827.81,465983.28,3.44,2.341,False
C01,Patan Patola,Gujarat,2022-08-22,5,5,223562.85,251872.44,47003.88,56872.59,93192.8,1132.89,1006.28,100674.16,-105200.68,6,16779.03,670851.84,5.01,3.292,False
C01,Patan Patola,Gujarat,2022-08-29,9,8,398739.82,186221.81,377046.7,42073.37,68902.07,1890.21,720.04,73356.16,263461.01,10,7335.62,480026.95,2.66,3.334,False
C01,Patan Patola,Gujarat,2022-09-05,5,4,228940.96,503104.06,124820.93,113689.22,186148.5,756.9,1287.47,202509.44,-177061.16,4,50627.36,858310.08,3.03,7.646,False
C01,Patan Patola,Gujarat,2022-09-12,4,4,178372.03,562305.56,259517.07,126224.38,208053.06,757.72,1741.65,227270.4,-77259.74,4,56817.6,1161098.57,3.09,4.619,False
C01,Patan Patola,Gujarat,2022-09-19,5,5,225607.86,86307.27,567425.7,19160.86,31933.69,758.54,1019.97,34454.18,514552.64,4,8613.54,679980.14,2.03,3.034,False
C01,Patan Patola,Gujarat,2022-09-26,2,2,88550.74,83924.05,271218.21,18631.76,31051.9,379.68,739.03,33860.71,220415.84,2,16930.36,492685.98,1.59,4.214,False
C01,Patan Patola,Gujarat,2022-10-03,5,5,226504.41,179416.19,131625.02,39863.37,66383.99,1140.27,810.72,72028.56,23426.67,6,12004.76,540477.15,2.37,3.538,False
C01,Patan Patola,Gujarat,2022-10-10,2,2,87546.79,134612.75,44010.15,30009.67,49806.72,380.5,946.62,54415.86,-37133.36,2,27207.93,631079.75,5.21,2.998,False
C01,Patan Patola,Gujarat,2022-10-17,7,7,325083.52,356888.35,90469.74,79216.14,132048.69,1714.1,1346.25,143909.42,-123855.44,9,15989.94,897498.36,4.76,3.119,False
C01,Patan Patola,Gujarat,2022-10-24,4,4,177407.33,143147.8,88569.79,31483.24,52964.69,953.3,1428.11,57746.57,1740.45,5,11549.31,952076.37,4.68,5.21,False
C01,Patan Patola,Gujarat,2022-10-31,4,4,182512.85,237423.59,713828.92,52709.81,87846.73,763.46,713.51,96103.59,571795.41,4,24025.9,475671.04,2.18,1.982,False
C01,Patan Patola,Gujarat,2022-11-07,4,4,180758.63,0.0,92460.68,0.0,0.0,572.9,574.82,-572.9,91312.96,3,-190.97,383210.36,2.08,1.637,False
C01,Patan Patola,Gujarat,2022-11-14,6,6,268234.85,423409.93,190323.28,95418.94,156661.67,1337.35,924.45,169991.97,-64019.13,7,24284.57,616297.01,3.07,2.605,False
C01,Patan Patola,Gujarat,2022-11-21,4,4,177456.28,181845.81,211069.86,40772.0,67282.95,764.61,880.61,73026.25,101369.69,4,18256.56,587072.96,2.79,3.063,False
C01,Patan Patola,Gujarat,2022-11-28,6,5,267089.57,134128.16,410958.26,30073.14,49627.42,1147.41,465.36,53280.19,329644.93,6,8880.03,310242.86,1.68,2.141,False
C01,Patan Patola,Gujarat,2022-12-05,2,2,90669.19,87776.43,0.0,19603.12,32477.28,574.01,597.03,35122.02,-53251.44,3,11707.34,398019.29,1.92,2.196,False
C01,Patan Patola,Gujarat,2022-12-12,5,5,230188.96,267080.88,221098.56,59529.46,98819.93,574.32,666.0,108157.17,61508.85,3,36052.39,444001.61,2.65,1.669,False
C01,Patan Patola,Gujarat,2022-12-19,6,6,279353.53,166506.66,43382.08,36980.4,61607.46,1149.13,850.69,66769.67,-57205.6,6,11128.28,567126.19,3.46,1.818,False
C01,Patan Patola,Gujarat,2022-12-26,6,5,275650.99,220774.91,219006.75,48643.78,81686.72,1341.37,853.34,89103.04,86481.54,7,12729.01,568894.35,3.07,2.095,False
C01,Patan Patola,Gujarat,2023-01-02,4,4,180551.92,86660.68,177470.6,19220.21,32064.45,766.91,717.13,34609.11,124701.9,4,8652.28,478084.43,2.58,1.987,False
C01,Patan Patola,Gujarat,2023-01-09,9,9,412181.1,394305.8,129156.39,87469.29,145893.15,2109.9,1114.85,158833.46,-107430.8,11,14439.41,743233.84,3.42,2.278,False
C01,Patan Patola,Gujarat,2023-01-16,12,11,543603.4,373896.09,131178.56,82958.26,138341.55,1919.11,1478.93,150677.17,-93519.29,10,15067.72,985951.37,3.67,4.043,False
C01,Patan Patola,Gujarat,2023-01-23,9,8,422101.72,310524.78,185283.42,68719.76,114894.17,1151.96,1666.79,125758.89,-1149.26,6,20959.81,1111192.73,3.81,17.464,False
C01,Patan Patola,Gujarat,2023-01-30,6,6,267519.08,566302.07,295546.35,125198.95,209531.77,768.38,2072.92,230802.97,-42025.67,4,57700.74,1381948.45,3.36,24.085,False
C01,Patan Patola,Gujarat,2023-02-06,1,1,45347.25,307105.52,48693.63,67746.42,113629.04,192.2,2460.54,125537.86,-135334.57,1,125537.86,1640360.34,4.21,3.293,False
C01,Patan Patola,Gujarat,2023-02-13,5,5,224368.67,148805.07,668759.35,32898.06,55057.88,1153.68,1680.61,59695.45,577969.12,6,9949.24,1120406.06,3.36,4.528,False
C01,Patan Patola,Gujarat,2023-02-20,4,4,180833.6,179469.02,709130.9,39621.9,66403.54,192.38,886.12,73251.2,602026.96,1,73251.2,590744.18,1.97,2.625,False
C01,Patan Patola,Gujarat,2023-02-27,5,5,226321.74,181110.6,179796.12,39912.45,67010.92,1347.25,888.09,72839.98,70637.41,7,10405.71,592058.66,2.9,2.792,False
C01,Patan Patola,Gujarat,2023-03-06,11,10,482410.79,409300.54,87189.85,89893.28,151441.2,1925.67,1371.25,166040.39,-157441.55,10,16604.04,914169.35,3.98,3.016,False
C01,Patan Patola,Gujarat,2023-03-13,1,1,44962.44,184931.64,374848.86,40566.98,68424.71,192.67,1086.38,75747.28,264578.12,1,75747.28,724252.13,3.03,2.055,False
C01,Patan Patola,Gujarat,2023-03-20,4,4,179591.03,368277.27,234294.04,80802.29,136262.59,963.76,1287.35,150248.63,14978.05,5,30049.73,858235.36,3.0,2.02,False
C01,Patan Patola,Gujarat,2023-03-27,10,9,459528.33,268441.0,228157.19,58862.1,99323.17,1735.69,1347.78,108520.04,66888.45,9,12057.78,898519.17,2.92,1.806,False
C01,Patan Patola,Gujarat,2023-04-03,3,3,134458.61,93183.53,471387.16,20539.53,34477.91,385.91,780.47,37780.18,415203.34,2,18890.09,520315.54,2.28,1.202,False
C01,Patan Patola,Gujarat,2023-04-10,7,7,306017.4,409558.2,45290.17,90365.19,151536.53,2316.46,1326.88,165340.02,-200254.89,12,13778.34,884583.57,3.11,2.053,False
C01,Patan Patola,Gujarat,2023-04-17,11,11,470134.98,387144.03,132667.6,85300.23,143243.29,2124.55,1708.59,156475.96,-99709.06,11,14225.09,1139060.0,3.93,4.486,False
C01,Patan Patola,Gujarat,2023-04-24,2,2,86480.39,136392.39,173825.16,29985.46,50465.18,386.45,1652.44,55555.3,91335.63,2,27777.65,1101627.23,4.29,4.261,False
C01,Patan Patola,Gujarat,2023-05-01,9,9,405589.83,88145.34,414291.68,19378.49,32613.78,2126.58,1163.22,34026.49,359009.61,11,3093.32,775480.89,3.04,1.906,False
C01,Patan Patola,Gujarat,2023-05-08,4,4,174930.87,256374.17,439821.05,56204.85,94858.44,969.6,888.05,104341.28,286900.11,5,20868.26,592034.01,2.73,1.88,False
C01,Patan Patola,Gujarat,2023-05-15,4,4,181231.47,0.0,0.0,0.0,0.0,778.06,888.05,-778.06,-1666.11,4,-194.52,592034.01,4.92,1.925,False
C01,Patan Patola,Gujarat,2023-05-22,5,4,242706.97,610146.71,179871.22,132417.26,225754.28,780.52,1533.46,251194.65,-180614.3,4,62798.66,1022309.5,4.28,2.918,False
C01,Patan Patola,Gujarat,2023-05-29,6,6,267722.96,139739.15,116096.79,30394.7,51703.49,1174.35,1568.93,56466.61,31255.32,6,9411.1,1045951.86,4.16,5.717,False
C01,Patan Patola,Gujarat,2023-06-05,6,6,254609.84,50458.72,593542.73,10997.54,18669.73,981.59,754.3,19809.86,562139.57,5,3961.97,502867.85,2.51,1.916,False
C01,Patan Patola,Gujarat,2023-06-12,4,4,176748.84,50766.09,226666.86,11028.72,18783.45,787.65,490.45,20166.27,195576.59,4,5041.57,326967.08,1.54,1.39,False
C01,Patan Patola,Gujarat,2023-06-19,4,3,185957.17,635899.09,137251.69,138062.25,235282.66,987.64,1238.42,261566.54,-238319.28,5,52313.31,825614.48,3.77,2.165,False
C01,Patan Patola,Gujarat,2023-06-26,5,5,224943.67,262159.88,547721.66,56779.74,96999.16,594.37,810.08,107786.61,392538.31,3,35928.87,540052.7,2.16,2.128,False
C01,Patan Patola,Gujarat,2023-07-03,8,7,353578.12,431377.39,46817.26,93581.76,159609.63,1192.31,1386.92,176993.69,-208953.36,6,29498.95,924612.83,2.68,4.259,False
C01,Patan Patola,Gujarat,2023-07-10,5,5,222210.86,88137.84,457068.75,19097.05,32611.0,996.56,833.52,35433.23,403530.62,5,7086.65,555681.92,1.57,2.625,False
C01,Patan Patola,Gujarat,2023-07-17,4,3,180965.21,272285.16,288251.64,59032.74,100745.51,399.85,809.57,112107.06,127263.97,2,56053.53,539715.44,2.05,1.834,False
C01,Patan Patola,Gujarat,2023-07-24,2,2,91288.95,172219.91,225018.02,37368.48,63721.37,401.04,730.38,70729.02,122796.75,2,35364.51,486917.33,2.02,1.687,False
C01,Patan Patola,Gujarat,2023-07-31,3,3,132060.88,447181.22,224056.7,97069.35,165457.05,603.35,1065.06,184051.47,-40138.11,3,61350.49,710041.85,2.9,2.59,False
C01,Patan Patola,Gujarat,2023-08-07,10,10,463818.98,181426.51,86053.95,39526.12,67127.81,1608.6,1208.12,73163.98,-23416.7,8,9145.5,805414.41,3.0,3.639,False
C01,Patan Patola,Gujarat,2023-08-14,4,4,176430.03,218782.91,132504.66,47790.1,80949.68,1206.21,1337.54,88836.92,1221.13,6,14806.15,891692.66,3.5,2.204,False
C01,Patan Patola,Gujarat,2023-08-21,6,6,266073.31,44440.3,543749.17,9681.9,16442.91,1608.11,588.58,16707.38,515427.67,8,2088.42,392383.79,1.76,2.143,False
C01,Patan Patola,Gujarat,2023-08-28,4,3,185529.79,87088.6,0.0,18934.99,32222.78,602.92,719.21,35327.91,-52479.9,3,11775.97,479472.39,3.61,1.637,False
C01,Patan Patola,Gujarat,2023-09-04,7,6,315594.42,47795.61,259915.34,10368.64,17684.38,1406.52,401.03,18336.07,230054.77,7,2619.44,267352.66,2.69,1.743,False
C01,Patan Patola,Gujarat,2023-09-11,8,7,363505.88,217632.49,131528.9,47260.54,80524.02,1808.02,530.18,88039.91,1406.14,9,9782.21,353456.25,3.56,2.071,False
C01,Patan Patola,Gujarat,2023-09-18,2,2,88117.68,599489.57,47795.61,129443.61,221811.14,401.7,1357.73,247833.12,-305218.57,2,123916.56,905150.21,3.8,5.875,False
C01,Patan Patola,Gujarat,2023-09-25,5,5,223199.92,386249.01,131951.94,83110.55,142912.13,1405.66,1739.17,158820.67,-97215.57,7,22688.67,1159447.28,3.71,7.224,False
C01,Patan Patola,Gujarat,2023-10-02,7,7,330960.46,46938.97,0.0,10126.93,17367.42,1003.94,1809.58,18440.68,-30307.87,5,3688.14,1206386.25,3.86,7.421,True
C01,Patan Patola,Gujarat,2023-10-09,6,6,266137.65,377910.84,352748.35,81832.92,139827.01,602.24,1847.32,155648.67,128638.86,3,51882.89,1231548.74,3.49,5.035,True
C01,Patan Patola,Gujarat,2023-10-16,5,5,226345.85,179829.85,184019.26,39003.84,66537.04,1204.24,1841.04,73084.73,75433.1,6,12180.79,1227359.33,4.95,25.0,False
C01,Patan Patola,Gujarat,2023-10-23,6,6,270471.04,236340.73,449930.02,51354.44,87446.07,401.33,1520.66,97138.89,309207.52,2,48569.44,1013770.04,4.82,4.962,False
C01,Patan Patola,Gujarat,2023-10-30,4,4,185271.2,352079.67,47674.15,76643.04,130269.48,601.87,1977.26,144565.28,-161817.5,3,48188.43,1318175.56,4.6,18.805,False
C01,Patan Patola,Gujarat,2023-11-06,5,5,226911.88,443238.71,381537.28,96369.89,163998.32,1203.62,2069.82,181666.88,117895.63,6,30277.81,1379876.99,4.56,25.0,False
C01,Patan Patola,Gujarat,2023-11-13,5,5,224872.12,141665.49,425668.89,30826.19,52416.23,601.69,1643.81,57821.38,340180.97,3,19273.79,1095873.59,3.74,2.107,False
C01,Patan Patola,Gujarat,2023-11-20,0,0,0.0,88550.31,599970.52,19268.41,32763.61,200.52,876.68,36317.77,546861.3,1,36317.77,584453.38,2.28,1.356,False
C01,Patan Patola,Gujarat,2023-11-27,6,4,262417.27,363756.8,187714.52,79056.69,134590.02,200.48,1140.74,149909.61,-27273.41,1,149909.61,760495.66,2.93,1.351,False
