cluster_id,product_category,week_start_date,units_ordered,units_delivered,avg_order_value_inr
C01,saree,2021-07-05,5,4,44831.77
C01,saree,2021-07-12,6,6,42434.53
C01,saree,2021-07-19,5,5,44681.84
C01,saree,2021-07-26,8,8,45152.0
C01,saree,2021-08-02,12,12,45258.6
C01,saree,2021-08-09,6,6,45364.32
C01,saree,2021-08-16,9,9,47338.58
C01,saree,2021-08-23,10,10,42556.42
C01,saree,2021-08-30,12,11,45395.33
C01,saree,2021-09-06,4,3,47902.34
C01,saree,2021-09-13,12,12,41097.12
C01,saree,2021-09-20,6,5,45404.21
C01,saree,2021-09-27,6,5,43682.9
C01,saree,2021-10-04,10,9,44165.9
C01,saree,2021-10-11,10,9,42964.18
C01,saree,2021-10-18,9,8,44618.51
C01,saree,2021-10-25,3,3,49142.83
C01,saree,2021-11-01,10,9,42155.03
C01,saree,2021-11-08,9,9,42368.38
C01,saree,2021-11-15,9,7,42070.65
C01,saree,2021-11-22,5,5,48886.69
C01,saree,2021-11-29,12,11,43959.74
C01,saree,2021-12-06,6,6,44942.31
C01,saree,2021-12-13,3,3,44093.74
C01,saree,2021-12-20,4,4,42875.05
C01,saree,2021-12-27,5,5,44470.91
C01,saree,2022-01-03,3,3,50531.05
C01,saree,2022-01-10,15,15,48132.16
C01,saree,2022-01-17,12,12,43080.89
C01,saree,2022-01-24,7,7,46457.04
C01,saree,2022-01-31,5,5,43129.07
C01,saree,2022-02-07,3,2,41003.17
C01,saree,2022-02-14,3,3,47293.9
C01,saree,2022-02-21,6,6,47610.21
C01,saree,2022-02-28,12,12,47353.62
C01,saree,2022-03-07,5,5,43942.8
C01,saree,2022-03-14,2,2,44624.75
C01,saree,2022-03-21,7,7,46686.97
C01,saree,2022-03-28,5,4,45880.87
C01,saree,2022-04-04,8,8,44114.32
C01,saree,2022-04-11,8,7,41357.09
C01,saree,2022-04-18,16,16,45256.22
C01,saree,2022-04-25,14,14,47427.77
C01,saree,2022-05-02,20,19,42305.43
C01,saree,2022-05-09,16,16,46437.21
C01,saree,2022-05-16,8,7,45745.97
C01,saree,2022-05-23,9,8,46687.83
C01,saree,2022-05-30,13,12,46961.94
C01,saree,2022-06-06,6,6,43437.45
C01,saree,2022-06-13,12,11,41361.84
C01,saree,2022-06-20,7,7,43799.58
C01,saree,2022-06-27,6,6,47000.54
C01,saree,2022-07-04,5,5,43780.49
C01,saree,2022-07-11,10,9,43438.4
C01,saree,2022-07-18,7,4,40901.96
C01,saree,2022-07-25,10,10,48943.46
C01,saree,2022-08-01,8,8,46857.86
C01,saree,2022-08-08,8,7,46732.27
C01,saree,2022-08-15,9,8,47177.38
C01,saree,2022-08-22,10,9,46297.59
C01,saree,2022-08-29,7,7,44450.26
C01,saree,2022-09-05,7,6,44631.53
C01,saree,2022-09-12,10,9,44037.98
C01,saree,2022-09-19,8,8,50928.17
C01,saree,2022-09-26,7,6,46250.8
C01,saree,2022-10-03,12,12,43956.45
C01,saree,2022-10-10,15,13,46047.37
C01,saree,2022-10-17,7,7,42725.54
C01,saree,2022-10-24,7,7,48385.14
C01,saree,2022-10-31,7,7,43512.59
C01,saree,2022-11-07,9,9,46127.44
C01,saree,2022-11-14,10,10,47398.45
C01,saree,2022-11-21,11,11,45865.73
C01,saree,2022-11-28,6,6,45212.56
C01,saree,2022-12-05,1,1,45024.3
C01,saree,2022-12-12,6,5,44873.01
C01,saree,2022-12-19,7,6,43702.43
C01,saree,2022-12-26,8,7,43988.66
C01,saree,2023-01-02,13,13,48329.08
C01,saree,2023-01-09,13,13,44755.79
C01,saree,2023-01-16,16,14,43231.96
C01,saree,2023-01-23,7,7,43838.33
C01,saree,2023-01-30,3,3,47475.83
C01,saree,2023-02-06,0,0,46520.11
C01,saree,2023-02-13,5,4,46260.74
C01,saree,2023-02-20,8,6,44420.58
C01,saree,2023-02-27,8,8,46290.07
C01,saree,2023-03-06,2,2,43551.99
C01,saree,2023-03-13,10,10,44415.87
C01,saree,2023-03-20,8,7,47182.06
C01,saree,2023-03-27,7,7,46967.12
C01,saree,2023-04-03,10,10,42790.7
C01,saree,2023-04-10,13,12,43075.07
C01,saree,2023-04-17,15,15,45244.58
C01,saree,2023-04-24,7,6,48883.8
C01,saree,2023-05-01,8,8,40689.98
C01,saree,2023-05-08,5,4,45626.25
C01,saree,2023-05-15,6,5,41903.9
C01,saree,2023-05-22,7,7,43572.76
C01,saree,2023-05-29,7,6,44180.04
C01,saree,2023-06-05,9,9,44053.86
C01,saree,2023-06-12,7,7,43798.96
C01,saree,2023-06-19,10,10,45016.22
C01,saree,2023-06-26,8,7,43795.67
C01,saree,2023-07-03,6,5,41709.47
C01,saree,2023-07-10,9,8,46754.71
C01,saree,2023-07-17,3,2,46693.96
C01,saree,2023-07-24,4,3,46897.14
C01,saree,2023-07-31,8,8,41533.35
C01,saree,2023-08-07,11,9,45672.57
C01,saree,2023-08-14,11,10,46520.95
C01,saree,2023-08-21,8,8,42679.8
C01,saree,2023-08-28,10,9,45020.64
C01,saree,2023-09-04,6,6,44738.4
C01,saree,2023-09-11,6,6,49144.84
C01,saree,2023-09-18,6,6,49330.12
C01,saree,2023-09-25,6,6,41255.2
C01,saree,2023-10-02,6,6,50611.34
