week_start_date,year,month,week_of_year,festival_name,festival_proximity,is_festival_week,is_wedding_season,google_trends_source,google_trends_index,cotton_price_inr_per_kg,cotton_price_source,cpi_inflation_index,cpi_source
2021-07-05,2021,7,27,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),57.6,190.0,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.0,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-07-12,2021,7,28,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),50.1,189.5,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.1,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-07-19,2021,7,29,Onam,0.05714285714285716,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),57.1,188.9,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.21,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-07-26,2021,7,30,Onam,0.2571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),62.5,189.4,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.31,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-08-02,2021,8,31,Onam,0.4571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),55.6,188.2,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.41,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-08-09,2021,8,32,Onam,0.6571428571428571,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),62.8,189.2,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.52,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-08-16,2021,8,33,Onam,0.8571428571428572,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),73.1,191.4,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.62,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-08-23,2021,8,34,Raksha_Bandhan,1.0,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),73.9,191.8,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.72,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-08-30,2021,8,35,,0.0,False,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),37.8,192.6,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.83,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-09-06,2021,9,36,Navratri_start,0.11428571428571421,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),36.3,192.7,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),100.93,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-09-13,2021,9,37,Navratri_start,0.3142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),48.2,192.7,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.03,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-09-20,2021,9,38,Navratri_start,0.5142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),52.8,191.1,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.14,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-09-27,2021,9,39,Navratri_start,0.7142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),55.3,191.8,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.24,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-10-04,2021,10,40,Navratri_start,0.9142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),65.0,191.6,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.35,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-10-11,2021,10,41,Navratri_start,1.0,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),64.2,196.2,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.45,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-10-18,2021,10,42,Diwali,0.5142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),40.9,199.6,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.56,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-10-25,2021,10,43,Diwali,0.7142857142857143,True,False,SYNTHETIC_PROXY (pytrends unreachable in this environment),52.1,200.5,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.66,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-11-01,2021,11,44,Diwali,0.9142857142857143,True,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),53.3,198.5,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.77,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-11-08,2021,11,45,Diwali,1.0,True,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),63.5,195.8,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.87,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-11-15,2021,11,46,,0.0,False,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),24.9,198.1,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),101.98,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-11-22,2021,11,47,,0.0,False,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),24.8,198.4,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),102.08,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-11-29,2021,11,48,,0.0,False,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),23.6,199.1,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),102.19,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
2021-12-06,2021,12,49,,0.0,False,True,SYNTHETIC_PROXY (pytrends unreachable in this environment),32.2,195.0,SYNTHETIC_PLACEHOLDER (replace with real Agmarknet/CCI series),102.29,SYNTHETIC_PLACEHOLDER (replace with real MOSPI CPI series)
